year,beta_neighbor,se,p,r2,n
1940,0.5922124464265472,inf,1.0,0.16278806014118496,3217
1941,0.600568542266118,0.04043851709791471,6.813209344534738e-50,0.162583364148551,4304
1942,0.6306806154675357,0.037191178816238415,1.6853423534269476e-64,0.17351890813776938,5491
1943,0.6228663417470439,0.03365526494442741,1.8048845916805896e-76,0.16670534217999944,6759
1944,0.61075492289622,0.030332404373126075,3.614248861117792e-90,0.1633018074770033,7642
1945,0.6011331999869549,0.028091622899692678,1.364458494779345e-101,0.1665550340404489,8257
1946,0.6194708586783269,0.02660098878950964,5.933106906946473e-120,0.17962343570071693,8805
1947,0.6355609135875914,0.02581622318946996,7.973829429357688e-134,0.18482200808098848,9247
1948,0.6362009207459395,0.024491425156912237,9.134548836758548e-149,0.18842413572284256,9994
1949,0.6438652408529094,0.022860242791037533,1.5574406857856194e-174,0.19518570179338302,10797
1950,0.6445452962326204,0.021357144878500378,4.4176985268357947e-200,0.20651463166522288,11784
1951,0.6482546603132303,0.02017161833966214,1.3432594509369285e-226,0.21437271385425394,13197
1952,0.6730166534107556,0.0187229606639153,5.832292656135956e-283,0.23498602592662576,15058
1953,0.6781879818139084,0.016266639136023883,0.0,0.24995024523549025,17539
1954,0.6982710876714614,0.014923140332222007,0.0,0.26502180952247933,19807
1955,0.6987541343872516,0.013830750600181674,0.0,0.2684653423509821,21474
1956,0.701810416561137,0.013198742083341963,0.0,0.271267476847162,22771
1957,0.7108467633352031,0.012780057512638741,0.0,0.2793624319817365,23132
1958,0.7135237353301169,0.012565629708173605,0.0,0.28800213240639483,22723
1959,0.7037445386512093,0.012600983575279043,0.0,0.28597588749149216,21868
1960,0.7061109304830748,0.012852886924827233,0.0,0.28865193889460694,20688
1961,0.7011602719716099,0.012633568051615644,0.0,0.29834269882135844,19987
1962,0.7163259421333694,0.012336491442726262,0.0,0.3136028276041505,19888
1963,0.7201340497836096,0.01189660717115685,0.0,0.3270601687163861,20201
1964,0.7310607983990717,0.01160855281385974,0.0,0.33565956819009723,20940
1965,0.7391099595801128,0.011194143768159482,0.0,0.3413033564964085,21858
1966,0.7593061933944233,0.010938247328801798,0.0,0.3532430640636247,22497
1967,0.7672917902177392,0.010812319457656138,0.0,0.35764216302167906,22894
1968,0.7726813569862436,0.010622654026934195,0.0,0.36213693439635,23372
1969,0.7826472654205732,0.01052360880479616,0.0,0.36601341450925384,23733
1970,0.7972332836805597,0.01044625776661181,0.0,0.37158673635678385,24282
1971,0.8105555789724233,0.009901995689693396,0.0,0.37961018082111864,25508
1972,0.8316704861221487,0.009451019529310161,0.0,0.39096659381551846,27376
1973,0.837028724350914,0.008876175853746154,0.0,0.39845524434611135,29706
1974,0.842375468584252,0.00848817238409401,0.0,0.40579893975726045,31598
1975,0.857261189069302,0.008181740955530691,0.0,0.41318401728318677,32951
1976,0.8590678003945769,0.007956980308899231,0.0,0.4197779026714662,33666
1977,0.8601426525897473,0.00793152546963897,0.0,0.4215779382260042,33423
1978,0.8621430036784967,0.00805269283636145,0.0,0.4237089247017075,32585
1979,0.8632762244751226,0.008196243472326177,0.0,0.42386120044552966,31370
1980,0.8748093211647672,0.008309114336865354,0.0,0.42968438635433714,30179
1981,0.8873930224412863,0.008270693751776834,0.0,0.4377520205653075,29504
1982,0.8870395917899476,0.008195577575613195,0.0,0.441332506461361,29315
1983,0.8909421006548894,0.00806690574397951,0.0,0.44711123189677715,29214
1984,0.9020933049369881,0.007897760808644167,0.0,0.45575636180880286,29225
1985,0.9002962444801235,0.007856233352409243,0.0,0.45915590614502455,29043
1986,0.8983041093312314,0.007833777398621488,0.0,0.4617644887163851,28251
1987,0.8942823742930406,0.00798467350179761,0.0,0.4610619188032823,27233
1988,0.8918732320497692,0.008092781282545277,0.0,0.46097054133568693,26562
1989,0.8908595431381217,0.008168947386344204,0.0,0.46391386864787565,25676
1990,0.8872097430597453,0.008411700281593994,0.0,0.45544618258951364,25098
1991,0.8821083444062772,0.008422933324073123,0.0,0.451992182370751,24879
1992,0.8823175348225474,0.008327473889366147,0.0,0.45003012666697095,24941
1993,0.8832875749840634,0.008286834800280326,0.0,0.4514230525934174,24834
1994,0.8821153312011147,0.008313108316108715,0.0,0.449725863593203,24135
1995,0.8797163998926578,0.008499598114626321,0.0,0.44736750938157066,22524
1996,0.8660355962377115,0.009052150164476596,0.0,0.43238814145273874,20502
1997,0.8636640074211577,0.009346946024850563,0.0,0.43137793924651335,18699
1998,0.85430088518928,0.009665112583843423,0.0,0.42368592814335027,17514
1999,0.8399409476129339,0.01015366399951894,0.0,0.41096337375411185,16354
2000,0.8233494099865821,0.010571863879098267,0.0,0.3944985642946188,15844
2001,0.8098988583589044,0.010679066774732356,0.0,0.3829024440704637,15893
2002,0.7889941376734697,0.010700656141514055,0.0,0.37109899756614495,16323
2003,0.784593152738339,0.010678603797104367,0.0,0.36821591121028907,16293
2004,0.7719841126050555,0.011220321993712729,0.0,0.3583840682012982,15495
2005,0.7516908752055935,0.012125787778828428,0.0,0.3447224652369175,13885
2006,0.7363117907338361,0.013126482410989276,0.0,0.3363966874057398,12069
2007,0.7236938982084292,0.013921276632542844,0.0,0.3391614306084534,10370
2008,0.7097911967193424,0.014915019957206135,0.0,0.3374335649494369,8717
2009,0.687812560747758,0.01640512167490475,0.0,0.32198566094559644,7033
2010,0.6677543547676338,0.01776288334457313,2.83138313071774e-309,0.3133338180785087,6073
2011,0.6492237399404489,0.018518643270865307,2.9609545344422607e-269,0.31125469808658335,5442
2012,0.6468528647201424,0.019975719113506676,4.926743473649434e-230,0.3055004791184126,4810
2013,0.6548189475781385,inf,1.0,0.31428637202860576,4237
2014,0.6473702150165813,0.024556239154010097,3.6649345142587304e-153,0.30901768810718766,3458
2015,0.6226673791604953,0.028810962926476245,1.3801306709945254e-103,0.29458593853891113,2548
2016,0.6009888852797644,0.037712437661795314,3.559267838104115e-57,0.3000308443816274,1715
2017,0.5898998267567561,0.054672305940007916,3.848875385314458e-27,0.3226779200445301,949
2018,0.6607904522686171,0.11048761803307602,2.222158675381591e-09,0.31749440622515535,382
